기존 용어 (영업·관리자 시각),교사용 쉬운 표현,의미·설명,교사가 입력하나요?
실패 사유,학부모 망설임 이유,학부모가 계약을 바로 못 한 이유 (① 남편 반대 등 9가지),"아니요 (에이전트 입력)"
보류,재상담 필요,한 번 더 만나서 설득해야 하는 상태,"교사가 ""보류""로 입력하면 = 재상담 필요"
클로징 신호,학부모 계약 의향,수업 끝나고 학부모가 얼마나 계약에 가까운지 (강/중/약),"네 (수업 후 입력)"
강 (클로징 신호),곧 결정 가능,"학부모가 ""해보고 싶다""에 가까운 분위기, 며칠 안에 결정 예상","교사 판단으로 선택"
중 (클로징 신호),관심 있음·시간 필요,긍정적이지만 추가 설득이나 시간이 필요한 분위기,"교사 판단으로 선택"
약 (클로징 신호),관심 낮음,"""아직 잘 모르겠다"" 분위기, 추가 자료·재방문 필요","교사 판단으로 선택"
수업 결과 = 성공,계약 의사 확인,"학부모가 계약하겠다고 명확히 말함",네
수업 결과 = 보류,재상담 필요,긍정적이지만 결정 미룸,네
수업 결과 = 실패,포기,"학부모가 ""안 하겠다""고 명확히 말함",네
수업 결과 = 미진행,수업 못 함,"학부모/자녀 부재 등으로 수업 자체가 안 됨",네
재클로징,재상담,에이전트가 다시 학부모를 만나 설득하는 단계,아니요 (에이전트 담당)
재클로징일,재상담 예정일,에이전트가 다시 학부모를 만나기로 한 날짜,아니요
D-Day,마감까지 남은 일수,재상담 예정일까지 며칠 남았는지 (D-3 = 3일 남음),자동 계산
매니저 승인 = 승인,진행 확정,매니저가 수업 진행을 확정함,아니요
매니저 승인 = 반려,진행 안 함,매니저가 수업 진행을 막음 (사유 별도),아니요
매니저 승인 = 대기,매니저가 아직 검토 중,매니저가 아직 결정 안 함,아니요
매니저 승인 = 보류,추가 정보 필요,매니저가 정보를 더 보고 결정하려 함,아니요
의사결정자,가정 내 결정권자,"학부모 중 누가 ""계약하자"" 결정을 내리는지 (엄마/아빠/공동)",아니요
가족구성,형제자매,자녀의 형제·자매 여부 (외동/형제/자매),아니요
Agent,영업 담당,학부모를 발굴해 처음 만난 영업 직원,아니요
